Index.No.,Region,Country,Port.Name,latdeg,latmin,latdir,londeg,lonmin,londir,Publication,Chart,Harbor.Size,Harbor.Type,Shelter,Tide,Swell,Ice,Other,Overhead.Limits,Channel,Anchorage,Cargo.Pier,Oil.Terminal,Tide.1,Maximum.Size,Good.Holding,Turning.Area,X1st.Port.of.Entry,U.S.,ETA.Message,Compulsory,Available,Local.Assistance,Advisable,Tug.Salvage,Tug.Assistance,Pratique,Derat.Certificate,Other.1,Telephone,Telegraph,Radio,Radio.Telephone,Air,Rail,Wharves,Anchor,Med..Moor,Beach.Moor,Ice.Moor,Medical.Facilities,Garbage.Disposal,Degauss,Dirty.Ballast,Fixed,Mobile,Floating,X100.Tons.Plus,X50.100.Tons,X25.49.Tons,X0.24.Tons,Longshore,Electrical,Steam,Nav.Equipment,Electric.Repair,Provisions,Water,Fuel.Oil,Diesel.Oil,Deck,Engine,Repair,Drydock,Railway,latlon,lat,lon
7660,6585,US,NEWBURGH,41,30,N,74,0,W,CP02,12343,V,RN,G,N,N,N,Y,Y,L,J,L,K,3,L,,,N,N,N,Y,,,,,Y,Y,Y,,Y,,,,Y,Y,Y,,,,,Y,,,N,,,Y,,Y,,,,,,,,Y,Y,Y,Y,Y,Y,B,,M,41 30 N 74 0 W,41.5,-74
7750,6585,US,EDGEWATER,40,49,N,73,59,W,CP02,12341,V,RN,G,Y,N,N,Y,Y,K,K,M,K,4,L,,,Y,N,N,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,N,Y,,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,,,40 49 N 73 59 W,40.8166666666667,-73.9833333333333
7680,6585,US,KINGSTON,41,56,N,73,58,W,CP02,12347,S,RN,G,N,N,N,Y,Y,O,J,N,,4,M,,,N,N,N,Y,,,,,Y,Y,Y,,Y,,,,,Y,Y,,,,,Y,,,N,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,B,,M,41 56 N 73 58 W,41.9333333333333,-73.9666666666667
7670,6585,US,POUGHKEEPSIE,41,42,N,73,57,W,CP02,12347,V,RN,G,N,N,N,Y,,M,J,M,,3,M,,,N,N,N,Y,,,,,Y,Y,Y,,Y,,,,,Y,Y,,,,,Y,,,N,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,C,,,41 42 N 73 57 W,41.7,-73.95
7650,6585,US,YONKERS,40,56,N,73,54,W,CP02,12345,S,RN,E,N,N,N,Y,N,K,K,N,L,1,M,Y,,N,N,N,Y,,,,,Y,Y,Y,,Y,,,,Y,Y,Y,,,,,Y,,,N,,,,,Y,,,,,,,,Y,Y,,Y,,,C,,M,40 56 N 73 54 W,40.9333333333333,-73.9
2550,2545,CA,BEAUHARNOIS,45,19,N,73,53,W,C301,14204,V,LC,E,,,Y,,Y,O,H,O,,0,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 19 N 73 53 W,45.3166666666667,-73.8833333333333
7690,6585,US,CATSKILL,42,13,N,73,51,W,CP02,12347,V,RN,G,N,N,N,Y,Y,P,J,N,,4,M,,,N,N,N,Y,,,,,Y,Y,Y,,Y,,,,,Y,Y,,,,,Y,,,N,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,A,S,,42 13 N 73 51 W,42.2166666666667,-73.85
7625,6585,US,CITY ISLAND,40,51,N,73,47,W,CP02,12366,V,CN,G,N,N,Y,Y,,J,L,O,,7,,,,N,N,N,Y,,Y,N,,Y,,,,Y,,,,,,Y,,,,,Y,,,N,,,,,,,,,Y,,,,Y,Y,,Y,Y,Y,B,,M,40 51 N 73 47 W,40.85,-73.7833333333333
14220,14070,CL,PUERTO CASTRO,42,29,S,73,46,W,125,22352,V,CN,E,Y,N,N,Y,N,J,G,N,F,3,M,,,,,Y,,,,,,,Y,,Y,,Y,Y,,Y,,Y,,,,,Y,,,N,,,,,,,,,,,,,Y,Y,Y,,,,,,,42 29 S 73 46 W,-42.4833333333333,-73.7666666666667
7720,6585,US,ALBANY,42,39,N,73,45,W,CP02,12348,M,RN,G,Y,N,N,Y,Y,K,J,L,L,5,L,Y,Y,Y,Y,,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,N,Y,,,Y,,,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,C,,,42 39 N 73 45 W,42.65,-73.75
